id_congresista	nombres	apellidos	completo	partido	partidos_anteriores	camara	num_votos	tipo_periodo	comision	autorias_aprobadas	ponencias	investigado	genero	posicion_ideologica	dep_circuncripcion	dep_mayor_vot	reemplazo
38	Juan Manuel	Galán Pachón	Galán Pachón, Juan Manuel	Liberal Colombiano	Liberal Colombiano	Senado	64449	Titular de la curul	Segunda	3	65		Masculino	3	Circunscripción Nacional	Santander	nadie
55	Cecilia	López Montaño	López Montaño, Cecilia	Liberal Colombiano	Liberal Colombiano	Senado	32558	Titular de la curul	Segunda	3	51		Femenino	3	Circunscripción Nacional	Distrito Capital	nadie
662	Juan Manuel	López Cabrales 	López Cabrales , Juan Manuel	Liberal Colombiano	Liberal Colombiano, Liberal Colombiano, Liberal Colombiano	Senado	95578	Titular de la curul	Tercera	0	18	Atención: Fue CONDENADO a seis años de prisión por nexos con grupos armados ilegales.	Masculino	None	Circunscripción Nacional	Córdoba	nadie
28	Juan Fernando	Cristo Bustos	Cristo Bustos, Juan Fernando	Liberal Colombiano	Liberal Colombiano	Senado	46174	Titular de la curul	Primera	1	25		Masculino	None	Circunscripción Nacional	Norte de Santander	nadie
9	Álvaro Antonio	Ashton Giraldo	Ashton Giraldo, Álvaro Antonio	Liberal Colombiano	Liberal Colombiano	Cámara de Representantes	41878	Titular de la curul	Cuarta	3	13		Masculino	None	Circunscripción Territorial de Atlántico	Atlántico	nadie
906	Camilo Armando	Sánchez Ortega	Sánchez Ortega, Camilo Armando	Liberal Colombiano	Liberal Colombiano	Senado	38811	Titular de la curul	Tercera	0	41		Masculino	None	Circunscripción Nacional	Cundinamarca	nadie
92	Luis Fernando	Velasco Cháves	Velasco Cháves, Luis Fernando	Liberal Colombiano	Liberal Colombiano, Liberal Colombiano, Movimiento Apertura Liberal	Cámara de Representantes	31193	Titular de la curul	Primera	2	34		Masculino	None	Circunscripción Territorial de Cauca	Cauca	nadie
643	Mauricio	Jaramillo Martínez	Jaramillo Martínez, Mauricio	Liberal Colombiano	Liberal Colombiano, Liberal Colombiano, Liberal Colombiano	Senado	65290	Titular de la curul	Quinta	3	25		Masculino	None	Circunscripción Nacional	Tolima	nadie
25	Piedad Esneda	Córdoba Ruiz	Córdoba Ruiz, Piedad Esneda	Liberal Colombiano	Liberal Colombiano	Senado	53903	Titular de la curul	Séptima	3	12	Atención: Investigado por posibles nexos con grupos armados ilegales	Femenino	None	Circunscripción Nacional	Antioquia	nadie
921	Hugo	Serrano Gómez	Serrano Gómez, Hugo	Liberal - Compromiso Ciudadano	Liberal Colombiano, Liberal - Compromiso Ciudadano	Senado	71229	Titular de la curul	Quinta	0	7	Falleció el 30 de junio de 2010	Masculino	None	Circunscripción Nacional	Santander	nadie
62	Mario Salomón 	Náder Muskus 	Náder Muskus , Mario Salomón 	Liberal Colombiano	Liberal Colombiano, Liberal Colombiano, Movimiento Integración Popular MIPOL	Senado	42639	Titular de la curul	Tercera	0	1		Masculino	None	Circunscripción Nacional	Córdoba	nadie
309	Germán Antonio	Aguirre Muñoz	Aguirre Muñoz, Germán Antonio	Liberal Colombiano	Coalición, Liberal Colombiano, Liberal Colombiano	Cámara de Representantes	35013	Titular de la curul	Séptima	1	24		Masculino	None	Circunscripción Territorial de Risaralda	Risaralda	nadie
41	Jesús Ignacio	García Valencia	García Valencia, Jesús Ignacio	Liberal Colombiano	Liberal Colombiano	Cámara de Representantes	51876	Titular de la curul	Primera	0	35		Masculino	None	Circunscripción Territorial de Cauca	Cauca	nadie
565	Guillermo	Gaviria Zapata	Gaviria Zapata, Guillermo	Liberal Colombiano	Liberal Colombiano	Cámara de Representantes	31453	Titular de la curul	Cuarta	0	8		Masculino	None	Circunscripción Territorial de Antioquia	Antioquia	nadie
505	Luis Fernando	Duque García	Duque García, Luis Fernando	Liberal Colombiano	Liberal Colombiano	Cámara de Representantes	30341	Titular de la curul	Quinta	3	14		Masculino	None	Circunscripción Territorial de Antioquia	Antioquia	nadie
368	Víctor Renán	Barco López	Barco López, Víctor Renán	Liberal Colombiano	Liberal Colombiano	Senado	55074	Titular de la curul	Tercera	0	31	Falleció el 19 de enero de 2009	Masculino	None	Circunscripción Nacional	Caldas	nadie
46	Carlos Julio	González Villa	González Villa, Carlos Julio	Liberal Colombiano	Liberal Colombiano	Cámara de Representantes	24383	Titular de la curul	Segunda	1	54		Masculino	None	Circunscripción Territorial de Huila	Huila	nadie
879	Héctor Helí	Rojas Jiménez	Rojas Jiménez, Héctor Helí	Liberal Colombiano	Liberal Colombiano	Senado	45533	Titular de la curul	Primera	2	52		Masculino	None	Circunscripción Nacional	Distrito Capital	nadie
811	Gustavo Francisco	Petro Urrego	Petro Urrego, Gustavo Francisco	Polo Democrático Alternativo	Movimiento de Integración Regional, Polo Democrático Alternativo, Vía Alterna	Cámara de Representantes	117919	Titular de la curul	Tercera	0	35	Candidato a la Presidencia por el Polo Democrático Alternativo  2010 - 2014	Masculino	None	Circunscripción Territorial de Bogotá	Distrito Capital	nadie
511	Jaime	Dussán Calderón	Dussán Calderón, Jaime	Polo Democrático Alternativo	Educación, Trabajo y Cambio Social, Polo Democrático Alternativo	Senado	44347	Titular de la curul	Tercera	0	27		Masculino	None	Circunscripción Nacional	Distrito Capital	nadie
77	Jorge Enrique	Robledo Castillo	Robledo Castillo, Jorge Enrique	Polo Democrático Alternativo	Movimiento Obrero Independiente Revolucionario - MOIR, Polo Democrático Alternativo	Senado	45703	Titular de la curul	Quinta	1	10		Masculino	1	Circunscripción Nacional	Distrito Capital	nadie
29	Parmenio	Cuellar Bastidas	Cuellar Bastidas, Parmenio	Polo Democrático Alternativo	Polo Democrático Alternativo	Senado	74580	Titular de la curul	Primera	2	64		Masculino	None	Circunscripción Nacional	Nariño	nadie
10	Luis Carlos	Avellaneda Tarazona	Avellaneda Tarazona, Luis Carlos	Polo Democrático Alternativo	Polo Democrático Alternativo, Polo Democrático Independiente, Unidad Democrática	Senado	48939	Titular de la curul	Séptima	1	31		Masculino	0	Circunscripción Nacional	Distrito Capital	nadie
1260	Gloria Inés	Ramírez Ríos	Ramírez Ríos, Gloria Inés	Polo Democrático Alternativo	Polo Democrático Alternativo	Senado	32589	Titular de la curul	Séptima	3	43		Femenino	0	Circunscripción Nacional	Distrito Capital	nadie
